diacritical_marks_vietnamese,no_accents_mark_vietnamese
Chạy!,Chay!
Giúp tôi với!,Giup toi voi!
Tiếp tục đi.,Tiep tuc di.
Chào bạn.,Chao ban.
Nhanh lên nào!,Nhanh len nao!
Tôi sẽ thử.,Toi se thu.
Tôi sẽ thử xem sao.,Toi se thu xem sao.
Ăn đi.,An di.
Ăn nó đi.,An no di.
Hiểu rồi!,Hieu roi!
Cứu tôi với!,Cuu toi voi!
Tôi cũng nghĩ như vậy.,Toi cung nghi nhu vay.
Hoàn hảo!,Hoan hao!
Chúng tôi biết.,Chung toi biet.
Chúng ta biết.,Chung ta biet.
Bạn chạy.,Ban chay.
Đừng có rầu rĩ quá như thế.,Dung co rau ri qua nhu the.
Hắn thử.,Han thu.
Anh thử.,Anh thu.
Thoáng cái chân lên!,Thoang cai chan len!
Tôi quên mất rồi.,Toi quen mat roi.
Tôi sẽ thử.,Toi se thu.
Tôi sẽ thử xem sao.,Toi se thu xem sao.
Tôi bị hói,Toi bi hoi
Tôi đang bận.,Toi dang ban.
Muộn quá.,Muon qua.
Lại đây nào.,Lai day nao.
Lại đây.,Lai day.
Lại đây đi.,Lai day di.
Đi ngủ đi.,Di ngu di.
Tôi ghét ti vi.,Toi ghet ti vi.
Tôi đã cười.,Toi da cuoi.
Tôi cười.,Toi cuoi.
Tôi sẽ đi.,Toi se di.
Nó có tồi không?,No co toi khong?
Lạnh.,Lanh.
Đó là của chúng tôi.,Do la cua chung toi.
Đó là của chúng ta.,Do la cua chung ta.
Lùi lại.,Lui lai.
Lùi lại đi.,Lui lai di.
Lại đây.,Lai day.
Nó đã khóc.,No da khoc.
Cô ấy đã khóc,Co ay da khoc
Hãy ngồi ở đó.,Hay ngoi o do.
Gì thế?,Gi the?
Có chuyện gì?,Co chuyen gi?
Bạn có sao không?,Ban co sao khong?
Hãy tìm một công việc đi.,Hay tim mot cong viec di.
Hãy mau về nhà đi.,Hay mau ve nha di.
Tôi đọc được.,Toi doc duoc.
Tôi đoán vậy.,Toi doan vay.
Tôi đoán thế.,Toi doan the.
Tôi ghét anh.,Toi ghet anh.
Anh phải lòng em.,Anh phai long em.
Tôi thích bạn.,Toi thich ban.
Tôi sẽ thử.,Toi se thu.
Tôi sẽ thử xem sao.,Toi se thu xem sao.
Tôi cảm thấy cô đơn.,Toi cam thay co don.
Tôi béo quá.,Toi beo qua.
Tôi béo vãi.,Toi beo vai.
Đó là phép thuật.,Do la phep thuat.
Để tôi thử.,De toi thu.
Không đùa chứ?,Khong dua chu?
Thời gian đã hết.,Thoi gian da het.
Hết giờ.,Het gio.
Hết thời gian.,Het thoi gian.
Tom đã nháy mắt.,Tom da nhay mat.
Tom nháy mắt.,Tom nhay mat.
Ai đây?,Ai day?
Hãy đúng giờ.,Hay dung gio.
Đừng đánh nhau.,Dung danh nhau.
Đừng có mà đánh nhau.,Dung co ma danh nhau.
Đừng đi!,Dung di!
Đừng đi mà!,Dung di ma!
Đừng bỏ đi!,Dung bo di!
Đừng bỏ đi mà!,Dung bo di ma!
Đi ngủ đi.,Di ngu di.
Tôi nghe bạn rồi.,Toi nghe ban roi.
Tôi thích cả hai cái.,Toi thich ca hai cai.
Tôi thích nhạc jazz.,Toi thich nhac jazz.
Tôi thích toán.,Toi thich toan.
Tôi sống ở đây.,Toi song o day.
Tôi cần thêm.,Toi can them.
Tôi cần thêm nữa.,Toi can them nua.
Tôi nhìn thấy UFO.,Toi nhin thay UFO.
Tôi thấy một con chó.,Toi thay mot con cho.
Tôi lo lắng.,Toi lo lang.
Tôi không phải Tom.,Toi khong phai Tom.
Tôi không phải là Tom.,Toi khong phai la Tom.
Tôi đã say rượu,Toi da say ruou
Tôi khát nước.,Toi khat nuoc.
Nó vừa với tôi.,No vua voi toi.
Thực hiện thôi.,Thuc hien thoi.
Tôi có thể bắt đầu được không?,Toi co the bat dau duoc khong?
Tôi bắt đầu được không ạ?,Toi bat dau duoc khong a?
Không ai tới hết.,Khong ai toi het.
Không ai đến.,Khong ai den.
Cô ấy là một người tốt bụng.,Co ay la mot nguoi tot bung.
Nói thật đi.,Noi that di.
Hãy nói thật đi.,Hay noi that di.
Hãy nói sự thật đi.,Hay noi su that di.
Nói chậm thôi.,Noi cham thoi.
Hãy nói chậm thôi.,Hay noi cham thoi.
Tom đã trông thấy bạn.,Tom da trong thay ban.
Tom đã nhìn thấy bạn.,Tom da nhin thay ban.
Hãy bầu cho tôi!,Hay bau cho toi!
Bầu cho tôi đi!,Bau cho toi di!
Chúng tôi nhớ Tom.,Chung toi nho Tom.
Cái này là cái gì?,Cai nay la cai gi?
Đây là cái gì?,Day la cai gi?
Em là của anh.,Em la cua anh.
Anh là của em.,Anh la cua em.
Mày là của tao.,May la cua tao.
Có ai ở nhà không?,Co ai o nha khong?
Có ai ở nhà không ạ?,Co ai o nha khong a?
Bạn có lạnh không?,Ban co lanh khong?
Bạn lạnh không?,Ban lanh khong?
Bạn có sao không?,Ban co sao khong?
Hãy đến cứu tôi!,Hay den cuu toi!
Đi với tôi.,Di voi toi.
Đừng ngại.,Dung ngai.
Đừng ngượng.,Dung nguong.
Lái nhanh hơn đi.,Lai nhanh hon di.
Chào buổi tối.,Chao buoi toi.
"Chờ chút, Tom.","Cho chut, Tom."
Tôi ngưỡng mộ Tom.,Toi nguong mo Tom.
Tôi đang ở nhà.,Toi dang o nha.
Tôi tò mò.,Toi to mo.
Tôi không biết.,Toi khong biet.
Tôi không hiểu.,Toi khong hieu.
Tôi nghe nhạc.,Toi nghe nhac.
Tôi thích bánh mì.,Toi thich banh mi.
Tôi thích bánh mỳ.,Toi thich banh my.
Tôi không thua đâu!,Toi khong thua dau!
Lấy cho tôi cái kia.,Lay cho toi cai kia.
Tôi sẽ trả tiền cho bạn.,Toi se tra tien cho ban.
Tôi vô tội!,Toi vo toi!
Tôi không có tội!,Toi khong co toi!
Tôi trong sạch!,Toi trong sach!
Tôi là người mới ở đây.,Toi la nguoi moi o day.
Tôi không rảnh.,Toi khong ranh.
Em không rảnh.,Em khong ranh.
Mình không rảnh.,Minh khong ranh.
Tao không rảnh.,Tao khong ranh.
Tớ không rảnh.,To khong ranh.
Tôi sắp nghỉ hưu.,Toi sap nghi huu.
Thứ hai OK không?,Thu hai OK khong?
